facility_id,archetype,archetype_label,asset_criticality,public_accessibility,perimeter_vulnerability,threat_exposure,existing_countermeasures,site_complexity,response_readiness,risk_score,cameras,access_control,guards,lighting,fencing,incident_likelihood
F197,mixed_use_tower,Mixed-Use Tower,3.56,2.78,3.25,2.67,4.29,4.47,3.35,49.34,False,False,True,True,False,19.87
F198,mixed_use_tower,Mixed-Use Tower,3.97,3.38,2.89,3.24,3.41,4.59,3.17,58.9,True,True,False,True,False,30.57
F199,mixed_use_tower,Mixed-Use Tower,3.54,2.74,1.35,3.23,3.37,3.15,3.7,45.8,False,False,False,False,False,41.43
F200,mixed_use_tower,Mixed-Use Tower,4.28,2.44,2.72,3.26,2.51,4.43,4.56,62.2,True,False,False,False,False,41.74
F201,mixed_use_tower,Mixed-Use Tower,3.02,3.76,3.42,2.41,4.18,4.16,3.4,49.81,False,True,False,False,False,33.63
F202,mixed_use_tower,Mixed-Use Tower,3.1,4.3,2.88,3.43,2.64,3.79,3.94,61.49,True,False,True,True,False,45.78
F203,mixed_use_tower,Mixed-Use Tower,3.72,3.71,2.06,2.4,3.48,4.61,2.4,51.36,True,False,False,True,True,28.63
F204,mixed_use_tower,Mixed-Use Tower,3.6,3.56,2.14,3.99,3.19,3.86,4.12,58.19,True,False,True,False,True,38.47
F205,mixed_use_tower,Mixed-Use Tower,3.57,3.05,2.01,2.97,3.6,4.77,3.92,51.79,True,True,False,False,True,33.59
F206,mixed_use_tower,Mixed-Use Tower,3.02,2.43,3.47,2.91,4.58,3.94,3.37,44.3,False,True,True,True,False,20.34
F207,mixed_use_tower,Mixed-Use Tower,3.59,2.65,2.76,2.43,3.49,4.42,2.6,49.2,True,True,False,False,True,28.81
F208,mixed_use_tower,Mixed-Use Tower,3.44,2.99,2.21,3.41,4.46,3.97,3.49,46.48,True,True,False,True,True,30.46
F209,mixed_use_tower,Mixed-Use Tower,4.34,2.87,3.2,2.59,2.71,4.27,2.15,58.99,True,True,False,False,True,40.46
F210,mixed_use_tower,Mixed-Use Tower,3.38,3.84,3.17,3.3,3.69,4.4,2.68,56.46,True,True,True,False,True,36.87
F211,mixed_use_tower,Mixed-Use Tower,3.84,1.28,2.78,2.93,3.57,4.55,3.16,47.89,True,False,False,True,True,37.55
F212,mixed_use_tower,Mixed-Use Tower,2.95,3.11,3.37,1.96,3.71,3.91,2.98,46.35,False,True,False,True,False,19.73
F213,mixed_use_tower,Mixed-Use Tower,4.64,2.72,2.58,2.76,3.03,4.08,4.67,59.31,True,True,False,True,True,46.89
F214,mixed_use_tower,Mixed-Use Tower,4.3,3.63,2.32,2.9,4.05,4.4,2.96,54.14,True,True,False,True,False,36.13
F215,mixed_use_tower,Mixed-Use Tower,4.05,3.52,2.18,2.03,3.28,4.64,2.87,53.02,False,False,True,True,True,39.08
F216,mixed_use_tower,Mixed-Use Tower,3.95,2.85,2.5,2.74,5.0,4.48,2.92,44.94,True,True,True,True,True,30.75
F217,mixed_use_tower,Mixed-Use Tower,3.83,3.06,2.61,2.97,3.25,3.98,4.09,55.36,False,False,False,True,False,34.46
F218,mixed_use_tower,Mixed-Use Tower,3.94,2.85,2.94,2.61,3.44,4.68,3.72,55.35,True,False,True,False,True,37.92
F219,mixed_use_tower,Mixed-Use Tower,2.77,2.62,2.38,2.75,3.28,4.2,2.88,45.61,True,False,True,True,True,31.9
F220,mixed_use_tower,Mixed-Use Tower,4.01,2.38,2.61,2.93,4.71,5.0,2.2,46.45,False,True,False,True,True,29.38
F221,mixed_use_tower,Mixed-Use Tower,3.54,3.33,2.74,3.72,3.65,4.12,3.86,56.29,True,False,False,False,True,35.23
F222,mixed_use_tower,Mixed-Use Tower,4.07,3.59,2.51,3.86,4.42,4.32,2.71,54.79,False,True,True,True,True,25.54
F223,mixed_use_tower,Mixed-Use Tower,3.98,2.53,4.44,2.35,2.85,4.46,4.12,61.9,False,False,False,True,True,30.28
F224,mixed_use_tower,Mixed-Use Tower,3.67,1.65,1.81,2.68,3.1,4.4,3.38,46.1,True,False,False,False,True,33.85
F225,mixed_use_tower,Mixed-Use Tower,3.68,2.76,2.4,2.51,3.85,4.15,2.8,46.79,False,True,False,True,True,33.58
F226,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.38,1.0,4.11,3.22,2.67,2.22,4.77,56.3,False,False,False,False,False,41.58
F227,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),3.71,1.54,4.76,4.7,4.46,1.59,4.66,52.3,True,True,False,False,False,38.54
F228,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.92,1.51,2.45,3.38,2.4,2.72,4.79,57.91,False,False,False,False,True,42.12
F229,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.3,2.06,4.29,3.62,2.77,2.12,4.31,60.72,False,True,False,False,True,50.48
F230,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.48,1.0,1.91,2.89,3.42,2.27,4.29,43.09,False,False,False,False,True,28.42
F231,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),3.96,1.96,2.92,5.0,2.97,2.82,4.17,59.26,True,False,False,True,False,40.81
F232,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.29,1.35,2.97,5.0,2.93,3.13,4.1,59.7,False,False,False,False,True,58.99
F233,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.69,1.95,3.85,4.74,2.95,3.63,3.96,67.25,True,True,False,True,True,61.33
F234,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.88,2.19,2.32,3.41,2.63,1.02,4.73,54.41,True,True,True,False,False,41.88
F235,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.99,1.17,2.96,4.34,3.3,1.0,3.59,52.2,True,True,True,True,True,36.25
F236,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.89,1.0,2.81,3.79,2.92,2.54,3.59,54.19,False,True,False,True,True,36.16
F237,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.57,1.9,3.32,2.98,2.61,2.32,4.01,56.36,True,False,False,True,True,35.26
F238,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.24,1.37,3.08,2.8,2.65,1.92,3.86,49.76,True,False,False,False,True,33.49
F239,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.6,1.5,3.7,5.0,2.32,2.72,4.3,66.83,False,False,False,True,True,48.52
F240,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.1,1.82,3.07,2.82,3.18,1.89,3.96,48.19,True,False,False,True,False,39.92
F241,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.33,1.77,2.85,4.88,2.09,3.0,3.87,64.16,False,False,False,True,False,64.27
F242,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.57,1.42,3.93,3.69,1.97,1.71,4.32,61.58,True,False,False,True,True,46.6
F243,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.54,1.07,2.53,3.83,3.15,2.61,4.47,51.92,True,False,False,False,False,40.77
F244,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.87,1.13,3.44,3.16,2.58,1.53,4.83,55.3,False,False,False,True,False,36.21
F245,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.51,1.5,3.12,3.86,3.67,2.13,5.0,52.57,True,False,False,True,False,32.86
F246,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.29,2.47,3.22,2.58,2.44,2.17,4.47,56.28,True,False,False,False,False,35.88
F247,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.23,1.0,4.14,4.08,3.78,2.22,4.59,53.11,False,False,True,True,True,30.89
F248,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.0,1.12,3.8,4.08,1.91,1.61,3.84,58.03,False,False,False,True,False,43.35
F249,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.55,1.82,2.49,3.46,3.82,1.95,3.91,47.55,True,True,True,True,False,34.19
F250,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.73,1.81,3.02,3.63,2.95,2.62,3.69,56.79,True,True,False,False,False,48.33
F251,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),5.0,1.43,2.24,2.31,3.2,1.84,3.74,45.7,True,False,False,True,True,26.34
F252,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),5.0,1.0,4.01,3.26,3.44,2.86,4.57,56.67,True,False,True,True,True,40.53
F253,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.79,1.53,2.81,2.66,3.7,2.31,4.77,48.44,True,True,False,True,True,26.77
F254,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),5.0,1.05,3.16,3.68,2.13,2.4,5.0,61.19,False,True,True,False,False,44.6
F255,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),5.0,1.27,3.28,3.34,1.47,1.52,4.68,61.89,False,False,False,False,False,47.67
F256,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),5.0,1.1,4.11,2.65,3.86,1.96,3.69,49.69,False,True,False,False,True,34.79
F257,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.78,1.38,3.09,3.71,3.44,3.44,4.67,56.81,True,False,False,True,True,34.25
F258,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.42,1.2,3.85,3.48,3.11,2.85,4.63,56.45,True,False,False,True,True,38.97
F259,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.67,1.71,4.04,3.8,3.47,2.24,3.86,57.24,True,True,False,True,False,41.05
F260,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.49,1.3,3.74,2.84,1.7,1.99,4.58,59.2,False,False,False,False,False,46.32
F261,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.82,1.03,3.45,3.89,3.66,1.72,4.03,51.52,False,True,True,True,True,36.87
F262,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.58,1.0,3.55,2.95,3.39,1.43,4.22,47.92,True,False,False,True,False,23.14
F263,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.37,1.4,2.97,4.04,2.78,1.62,4.06,53.61,True,False,False,False,True,44.97
F264,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.59,1.2,2.32,3.24,2.14,1.16,3.8,50.25,False,False,False,False,False,28.24
F265,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.4,1.56,3.98,3.1,3.84,1.29,3.58,47.9,False,False,False,False,True,30.51
F266,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),3.72,1.0,3.49,3.35,2.12,2.24,4.26,53.33,False,False,False,True,False,48.62
F267,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.21,2.53,3.66,3.87,3.42,3.33,4.6,60.75,False,False,False,False,False,46.83
F268,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.34,1.44,3.2,4.95,4.59,2.23,4.23,50.58,True,True,True,False,True,28.02
F269,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.58,1.0,3.89,4.96,3.58,3.08,3.78,59.36,True,True,False,True,False,36.11
F270,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.07,1.0,3.74,5.0,4.09,1.06,4.91,50.21,True,True,False,True,False,26.67
F271,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.84,1.0,3.24,4.4,3.01,1.9,4.64,57.1,False,False,False,True,False,46.55
F272,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.64,1.31,2.55,2.93,2.77,2.34,4.92,51.81,True,False,True,False,False,35.38
F273,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),5.0,1.65,2.57,3.71,4.32,2.09,4.42,48.89,False,True,False,True,True,36.88
F274,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.74,1.28,3.71,3.56,3.01,2.59,3.84,56.99,True,True,True,True,True,44.25
F275,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.07,1.0,3.32,4.69,2.85,2.98,4.38,57.81,True,False,False,True,False,42.62
F276,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.67,1.54,3.29,3.88,2.79,1.81,5.0,57.84,False,False,False,False,True,50.98
F277,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),3.92,1.77,3.22,3.45,3.33,2.55,3.79,50.71,True,False,False,True,True,45.73
F278,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.89,1.0,3.74,4.2,3.58,2.67,4.38,57.23,True,False,True,True,False,42.27
F279,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.82,1.0,3.85,5.0,3.06,2.16,4.35,61.58,True,False,True,True,False,49.62
F280,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),5.0,2.12,3.71,3.34,4.99,1.94,3.91,49.18,True,True,True,True,False,36.2
F281,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.63,1.72,2.25,4.63,3.63,2.18,4.52,53.35,True,True,True,True,False,28.0
F282,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.94,1.88,2.91,3.84,2.79,2.4,3.89,58.98,False,False,False,False,False,39.89
F283,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),5.0,1.65,3.91,4.43,2.48,2.12,4.11,65.5,False,False,False,False,False,44.95
F284,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),5.0,1.36,2.95,3.41,1.82,3.05,4.0,62.48,False,False,False,False,False,54.71
F285,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.85,1.54,3.24,4.94,2.27,2.2,4.21,65.11,True,True,True,False,False,57.76
F286,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.16,1.0,3.5,3.94,3.42,2.54,3.23,50.74,True,True,True,True,False,37.14
F287,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.35,1.62,3.5,3.29,2.16,2.36,3.59,57.88,False,False,False,True,False,33.42
F288,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.07,1.91,2.85,3.11,2.87,1.56,3.59,48.9,True,True,False,True,True,33.68
F289,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.53,1.64,3.3,3.41,3.38,2.6,4.13,53.73,True,True,True,True,True,40.25
F290,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.71,1.42,3.89,4.25,3.73,2.14,4.89,57.21,True,True,True,True,True,44.62
F291,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),5.0,1.25,3.45,3.29,2.61,3.13,3.86,59.56,True,True,False,False,False,61.26
F292,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.45,1.0,4.03,3.09,4.04,2.03,3.88,47.43,True,False,False,True,False,28.79
F293,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.09,1.56,2.15,3.29,3.61,2.38,4.5,45.23,True,False,True,False,True,34.63
F294,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.42,1.0,3.69,3.98,3.87,1.64,3.75,49.05,True,True,False,True,True,27.54
F295,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),5.0,2.13,2.55,3.37,3.03,3.27,3.95,58.15,True,False,False,False,False,41.01
F296,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),3.94,1.0,3.99,3.57,2.74,1.75,4.09,52.59,False,False,False,True,True,39.43
F297,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.76,1.51,3.19,3.23,2.8,2.89,3.83,56.55,False,False,False,True,False,48.69
F298,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.57,1.32,3.17,3.42,3.68,2.34,4.32,50.36,True,False,True,False,True,42.44
F299,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.71,1.63,3.3,3.38,2.86,1.37,4.16,54.04,True,False,True,True,False,56.26
F300,critical_infrastructure,Critical Infrastructure (Substation / Warehouse),4.95,1.08,3.81,3.08,1.92,1.99,4.25,60.33,True,True,False,True,False,39.36
